city1,city2,Year,quarter,fare
"Miami, FL (Metropolitan Area)","Raleigh/Durham, NC",2025,3,144.99
"New York City, NY (Metropolitan Area)","Portland, OR",2025,3,313.82
"Philadelphia, PA","Tampa, FL (Metropolitan Area)",2025,3,171.1
"Salt Lake City, UT","Seattle, WA",2025,3,217.0
"Philadelphia, PA","San Francisco, CA (Metropolitan Area)",2025,3,317.49
"Cleveland, OH (Metropolitan Area)","Orlando, FL",2025,3,137.15
"Los Angeles, CA (Metropolitan Area)","Reno, NV",2025,3,172.92
"Atlanta, GA (Metropolitan Area)","Seattle, WA",2025,3,334.14
"Austin, TX","Las Vegas, NV",2025,3,178.61
"Charlotte, NC","Miami, FL (Metropolitan Area)",2025,3,194.94
"Myrtle Beach, SC","New York City, NY (Metropolitan Area)",2025,3,140.25
"Chicago, IL","Portland, OR",2025,3,231.56
"Denver, CO","Nashville, TN",2025,3,194.73
"Denver, CO","Tampa, FL (Metropolitan Area)",2025,3,211.74
"Boston, MA (Metropolitan Area)","Las Vegas, NV",2025,3,302.15
"Dallas/Fort Worth, TX","Salt Lake City, UT",2025,3,228.62
"Chicago, IL","Fort Myers, FL",2025,3,180.05
"Houston, TX","Seattle, WA",2025,3,282.8
"Las Vegas, NV","Orlando, FL",2025,3,220.62
"Miami, FL (Metropolitan Area)","Nashville, TN",2025,3,178.27
"Cincinnati, OH","New York City, NY (Metropolitan Area)",2025,3,231.68
"Charlotte, NC","Dallas/Fort Worth, TX",2025,3,258.62
"Houston, TX","Phoenix, AZ",2025,3,196.6
"Portland, OR","San Diego, CA",2025,3,207.57
"New Orleans, LA","Washington, DC (Metropolitan Area)",2025,3,203.2
"Boston, MA (Metropolitan Area)","Phoenix, AZ",2025,3,279.18
"Orlando, FL","Raleigh/Durham, NC",2025,3,149.42
"New York City, NY (Metropolitan Area)","Savannah, GA",2025,3,177.37
"Nashville, TN","Orlando, FL",2025,3,181.34
"Austin, TX","Boston, MA (Metropolitan Area)",2025,3,245.72
"Los Angeles, CA (Metropolitan Area)","San Antonio, TX",2025,3,203.92
"Chicago, IL","Kansas City, MO",2025,3,225.29
"Detroit, MI","Houston, TX",2025,3,199.34
"Denver, CO","St. Louis, MO",2025,3,196.65
"Hartford, CT","Orlando, FL",2025,3,151.12
"Austin, TX","Washington, DC (Metropolitan Area)",2025,3,284.62
"Atlanta, GA (Metropolitan Area)","Minneapolis/St. Paul, MN",2025,3,263.0
"Detroit, MI","Phoenix, AZ",2025,3,234.69
"Denver, CO","Kansas City, MO",2025,3,186.0
"Orlando, FL","Seattle, WA",2025,3,313.69
"Atlanta, GA (Metropolitan Area)","Phoenix, AZ",2025,3,269.78
"Orlando, FL","San Francisco, CA (Metropolitan Area)",2025,3,265.66
"Boston, MA (Metropolitan Area)","Fort Myers, FL",2025,3,158.79
"Boston, MA (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2025,3,191.71
"Chicago, IL","New Orleans, LA",2025,3,179.04
"Detroit, MI","San Francisco, CA (Metropolitan Area)",2025,3,367.92
"St. Louis, MO","Washington, DC (Metropolitan Area)",2025,3,223.61
"Detroit, MI","Tampa, FL (Metropolitan Area)",2025,3,166.78
"Boise, ID","Los Angeles, CA (Metropolitan Area)",2025,3,195.61
"Las Vegas, NV","Philadelphia, PA",2025,3,257.44
"Kansas City, MO","Los Angeles, CA (Metropolitan Area)",2025,3,227.78
"Houston, TX","Philadelphia, PA",2025,3,224.16
"Charlotte, NC","Denver, CO",2025,3,210.09
"Denver, CO","Indianapolis, IN",2025,3,188.56
"Las Vegas, NV","Salt Lake City, UT",2025,3,166.35
"Minneapolis/St. Paul, MN","Portland, OR",2025,3,204.37
"Las Vegas, NV","Reno, NV",2025,3,176.69
"Jacksonville, FL","Washington, DC (Metropolitan Area)",2025,3,217.8
"Dallas/Fort Worth, TX","St. Louis, MO",2025,3,211.83
"Dallas/Fort Worth, TX","New Orleans, LA",2025,3,168.75
"Salt Lake City, UT","San Diego, CA",2025,3,187.5
"Austin, TX","Seattle, WA",2025,3,261.45
"Las Vegas, NV","San Antonio, TX",2025,3,198.32
"Salt Lake City, UT","Washington, DC (Metropolitan Area)",2025,3,315.86
"Nashville, TN","Philadelphia, PA",2025,3,174.97
"Chicago, IL","Detroit, MI",2025,3,194.43
"Los Angeles, CA (Metropolitan Area)","New Orleans, LA",2025,3,235.72
"Atlanta, GA (Metropolitan Area)","Austin, TX",2025,3,219.87
"Chicago, IL","Salt Lake City, UT",2025,3,291.48
"Orlando, FL","Pittsburgh, PA",2025,3,166.57
"Charlotte, NC","Los Angeles, CA (Metropolitan Area)",2025,3,333.75
"Charlotte, NC","Orlando, FL",2025,3,190.78
"Dallas/Fort Worth, TX","Raleigh/Durham, NC",2025,3,210.02
"Atlanta, GA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",2025,3,192.12
"Minneapolis/St. Paul, MN","Nashville, TN",2025,3,183.24
"Chicago, IL","Cleveland, OH (Metropolitan Area)",2025,3,210.55
"Indianapolis, IN","Washington, DC (Metropolitan Area)",2025,3,211.24
"Detroit, MI","Seattle, WA",2025,3,335.25
"Los Angeles, CA (Metropolitan Area)","St. Louis, MO",2025,3,263.96
"Buffalo, NY","Orlando, FL",2025,3,152.45
"Dallas/Fort Worth, TX","Portland, OR",2025,3,229.93
"Orlando, FL","St. Louis, MO",2025,3,202.17
"Miami, FL (Metropolitan Area)","Seattle, WA",2025,3,286.45
"Boston, MA (Metropolitan Area)","Pittsburgh, PA",2025,3,180.58
"Dallas/Fort Worth, TX","Kansas City, MO",2025,3,208.63
"Kansas City, MO","New York City, NY (Metropolitan Area)",2025,3,298.46
"Houston, TX","New Orleans, LA",2025,3,191.41
"Austin, TX","Miami, FL (Metropolitan Area)",2025,3,185.11
"Indianapolis, IN","Los Angeles, CA (Metropolitan Area)",2025,3,258.91
"Indianapolis, IN","Orlando, FL",2025,3,175.31
"Nashville, TN","Tampa, FL (Metropolitan Area)",2025,3,166.04
"Charleston, SC","Washington, DC (Metropolitan Area)",2025,3,198.83
"Cincinnati, OH","Orlando, FL",2025,3,156.32
"Philadelphia, PA","Seattle, WA",2025,3,333.78
"Washington, DC (Metropolitan Area)","West Palm Beach/Palm Beach, FL",2025,3,181.09
"Charlotte, NC","Philadelphia, PA",2025,3,205.11
"Atlanta, GA (Metropolitan Area)","Raleigh/Durham, NC",2025,3,221.17
"Minneapolis/St. Paul, MN","San Diego, CA",2025,3,249.54
"Houston, TX","Tampa, FL (Metropolitan Area)",2025,3,178.8
"Dallas/Fort Worth, TX","Indianapolis, IN",2025,3,192.43
"Cleveland, OH (Metropolitan Area)","Miami, FL (Metropolitan Area)",2025,3,159.05
"Raleigh/Durham, NC","Washington, DC (Metropolitan Area)",2025,3,196.53
"Columbus, OH","Orlando, FL",2025,3,163.62
"Los Angeles, CA (Metropolitan Area)","Raleigh/Durham, NC",2025,3,297.97
"Houston, TX","Nashville, TN",2025,3,235.6
"Boston, MA (Metropolitan Area)","Charleston, SC",2025,3,160.99
"Charlotte, NC","Houston, TX",2025,3,200.17
"Denver, CO","Raleigh/Durham, NC",2025,3,229.02
"Kansas City, MO","Washington, DC (Metropolitan Area)",2025,3,241.34
"Austin, TX","Orlando, FL",2025,3,187.29
"Atlanta, GA (Metropolitan Area)","San Diego, CA",2025,3,290.05
"Boston, MA (Metropolitan Area)","Salt Lake City, UT",2025,3,338.56
"San Antonio, TX","Washington, DC (Metropolitan Area)",2025,3,251.53
"Los Angeles, CA (Metropolitan Area)","Spokane, WA",2025,3,209.56
"Denver, CO","Sacramento, CA",2025,3,215.19
"New York City, NY (Metropolitan Area)","Portland, ME",2025,3,197.17
"Cleveland, OH (Metropolitan Area)","Denver, CO",2025,3,198.68
"Miami, FL (Metropolitan Area)","New Orleans, LA",2025,3,163.9
"New York City, NY (Metropolitan Area)","Sacramento, CA",2025,3,262.96
"Detroit, MI","Minneapolis/St. Paul, MN",2025,3,230.9
"Orlando, FL","Phoenix, AZ",2025,3,257.5
"Dallas/Fort Worth, TX","San Antonio, TX",2025,3,234.2
"Austin, TX","Phoenix, AZ",2025,3,190.96
"Nashville, TN","Seattle, WA",2025,3,279.11
"Atlanta, GA (Metropolitan Area)","New Orleans, LA",2025,3,180.46
"Minneapolis/St. Paul, MN","Tampa, FL (Metropolitan Area)",2025,3,186.64
"Chicago, IL","Columbus, OH",2025,3,214.0
"Austin, TX","San Diego, CA",2025,3,207.12
"Los Angeles, CA (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2025,3,306.38
"Boston, MA (Metropolitan Area)","Cleveland, OH (Metropolitan Area)",2025,3,194.2
"Cleveland, OH (Metropolitan Area)","Tampa, FL (Metropolitan Area)",2025,3,128.11
"New York City, NY (Metropolitan Area)","Richmond, VA",2025,3,196.6
"Las Vegas, NV","Tampa, FL (Metropolitan Area)",2025,3,220.53
"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",2025,3,184.72
"Boston, MA (Metropolitan Area)","Portland, OR",2025,3,291.84
"Chicago, IL","Pittsburgh, PA",2025,3,199.08
"Boise, ID","Seattle, WA",2025,3,168.56
"Phoenix, AZ","Sacramento, CA",2025,3,209.01
"Cleveland, OH (Metropolitan Area)","Las Vegas, NV",2025,3,204.2
"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL",2025,3,192.98
"Boston, MA (Metropolitan Area)","Jacksonville, FL",2025,3,186.65
"Cleveland, OH (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2025,3,298.13
"Portland, OR","Salt Lake City, UT",2025,3,194.74
"Minneapolis/St. Paul, MN","Philadelphia, PA",2025,3,261.28
"New York City, NY (Metropolitan Area)","San Antonio, TX",2025,3,266.87
"Cincinnati, OH","Denver, CO",2025,3,191.47
"Miami, FL (Metropolitan Area)","Phoenix, AZ",2025,3,269.01
"Houston, TX","San Diego, CA",2025,3,281.76
"Kansas City, MO","Orlando, FL",2025,3,199.51
"Albuquerque, NM","Los Angeles, CA (Metropolitan Area)",2025,3,213.72
"Orlando, FL","Salt Lake City, UT",2025,3,261.86
